Rank,Type,Number,Lane,Swimmer,Nation,Time
48,Heat,4,1,Matthew Abeysinghe,Sri Lanka,50.62
53,Heat,3,1,Issa Al-Adawi,Oman,51.81
8,Heat,9,6,David Popovici,Romania,48.03
50,Heat,3,6,Yousuf Al-Matrooshi,United Arab Emirates,51.50
18,Heat,7,1,Apostolos Christou,Greece,48.50
46,Heat,4,3,Ari-Pekka Liukkonen,Finland,50.48
16,Heat,6,2,Jacob Whittle,Great Britain,48.44
16,Semifinal,2,8,Roman Mityukov,Switzerland,48.53
34,Heat,4,5,Ian Ho,Hong Kong,49.49
12,Semifinal,2,4,Thomas Ceccon,Italy,48.05
3,Final,1,4,Kliment Kolesnikov,ROC,47.44
64,Heat,2,8,Belly-Cresus Ganira,Burundi,54.33
12,Heat,8,3,Maxime Grousset,France,48.25
11,Heat,7,5,Zach Apple,United States,48.16
29,Heat,6,8,Meiron Cheruti,Israel,49.26
43,Heat,4,2,Samy Boutouil,Morocco,50.37
40,Heat,4,6,Nikolas Antoniou,Cyprus,50.00
59,Heat,1,6,Alexander Shah,Nepal,53.41
61,Heat,2,2,Boško Radulović,Montenegro,53.60
22,Heat,6,6,Dylan Carter,Trinidad and Tobago,48.66
56,Heat,2,4,Danilo Rosafio,Kenya,52.54
8,Semifinal,1,7,Maxime Grousset,France,47.82
20,Heat,7,8,Szebasztián Szabó,Hungary,48.51
49,Heat,3,3,Andrew Chetcuti,Malta,51.47
3,Heat,8,4,Kyle Chalmers,Australia,47.77
7,Heat,8,5,Andrey Minakov,ROC,48.00
6,Heat,7,3,Hwang Sun-woo,South Korea,47.97
67,Heat,1,4,Andrew Fowler,Guyana,55.23
68,Heat,1,1,Sangay Tenzin,Bhutan,57.57
4,Semifinal,1,3,Hwang Sun-woo,South Korea,47.56
60,Heat,2,3,Mathieu Marquet,Mauritius,53.56
32,Heat,6,5,Gabriel Santos,Brazil,49.33
2,Final,1,7,Kyle Chalmers,Australia,47.08
62,Heat,2,7,Muhammad Haseeb Tariq,Pakistan,53.81
36,Heat,5,8,Luke Gebbie,Philippines,49.64
39,Heat,5,5,Joseph Schooling,Singapore,49.84
5,Heat,7,4,Kliment Kolesnikov,ROC,47.89
5,Final,1,6,Hwang Sun-woo,South Korea,47.82
2,Heat,9,4,Caeleb Dressel,United States,47.73
15,Semifinal,1,2,Yuri Kisil,Canada,48.31
37,Heat,6,3,Oussama Sahnoune,Algeria,49.65
30,Heat,5,4,Mikel Schreuders,Aruba,49.31
58,Heat,2,6,Delron Felix,Grenada,52.99
44,Heat,5,1,Ben Hockin,Paraguay,50.41
28,Heat,5,7,Nikola Miljenić,Croatia,49.25
63,Heat,2,1,Atuhaire Ambala,Uganda,54.23
5,Semifinal,1,6,David Popovici,Romania,47.72
17,Heat,9,7,Katsumi Nakamura,Japan,48.48
57,Heat,2,5,Jagger Stephens,Guam,52.72
3,Semifinal,1,5,Alessandro Miressi,Italy,47.52
10,Semifinal,2,6,Andrey Minakov,ROC,48.03
15,Heat,7,2,Roman Mityukov,Switzerland,48.43
64,Heat,1,3,Olt Kondirolli,Kosovo,54.33
52,Heat,3,2,Kledi Kadiu,Albania,51.65
21,Heat,6,7,Stan Pijnenburg,Netherlands,48.53
45,Heat,5,2,Emir Muratović,Bosnia and Herzegovina,50.43
11,Semifinal,2,7,Zach Apple,United States,48.04
18,Heat,8,6,He Junyi,China,48.50
66,Heat,1,5,Yazan Al-Bawwab,Palestine,54.51
9,Semifinal,2,1,Andrej Barna,Serbia,47.94
33,Heat,5,6,Alberto Mestre,Venezuela,49.44
51,Heat,3,5,Stefano Mitchell,Antigua and Barbuda,51.64
8,Final,1,1,Nándor Németh,Hungary,48.10
23,Heat,7,7,Mehdy Metella,France,48.68
14,Heat,7,6,Joshua Liendo,Canada,48.34
69,Heat,1,2,Mubal Ibrahim,Maldives,58.37
35,Heat,9,8,Serhiy Shevtsov,Ukraine,49.55
54,Heat,3,7,Jean Zephir,Saint Lucia,51.94
4,Final,1,8,Maxime Grousset,France,47.72
47,Heat,3,4,Mokhtar Al-Yamani,Yemen,50.52
2,Semifinal,1,4,Caeleb Dressel,United States,47.23
7,Final,1,2,David Popovici,Romania,48.04
55,Heat,3,8,Miguel Mena,Nicaragua,51.99
13,Semifinal,1,8,Jacob Whittle,Great Britain,48.11
42,Heat,4,8,Peter Wetzlar,Zimbabwe,50.31
70,Heat,1,7,Edgar Iro,Solomon Islands,60.13
13,Heat,8,2,Andrej Barna,Serbia,48.30
6,Final,1,3,Alessandro Miressi,Italy,47.86
7,Semifinal,2,2,Nándor Németh,Hungary,47.81
41,Heat,4,7,Khurshidjon Tursunov,Uzbekistan,50.14
38,Heat,4,4,Artur Barseghyan,Armenia,49.78
4,Heat,9,5,Alessandro Miressi,Italy,47.83
27,Heat,6,1,Robin Hanson,Sweden,49.07
26,Heat,6,4,Damian Wierling,Germany,48.83
10,Heat,8,8,Yuri Kisil,Canada,48.15
25,Heat,8,1,Pedro Spajari,Brazil,48.74
9,Heat,9,3,Nándor Németh,Hungary,48.11
1,Semifinal,2,3,Kliment Kolesnikov,ROC,47.11
14,Semifinal,1,1,Joshua Liendo,Canada,48.19
1,Final,1,5,Caeleb Dressel,United States,47.02
24,Heat,9,1,Cameron McEvoy,Australia,48.72
30,Heat,5,3,Ali Khalafalla,Egypt,49.31
1,Heat,9,2,Thomas Ceccon,Italy,47.71
6,Semifinal,2,5,Kyle Chalmers,Australia,47.80
